user1	user2
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	25
0	26
0	27
0	28
0	29
0	30
0	31
0	32
0	33
0	34
0	35
0	36
0	37
0	38
0	39
0	40
0	41
0	42
0	43
0	45
0	46
0	47
0	48
0	49
0	50
0	51
0	52
0	53
0	54
0	55
0	56
0	57
0	58
0	59
0	60
0	61
0	62
0	63
0	65
0	66
0	67
0	68
0	69
0	70
0	71
0	72
0	73
0	74
0	75
0	76
0	77
0	78
0	79
0	80
0	81
0	82
0	83
0	84
0	85
0	86
0	87
0	88
0	89
0	90
0	91
0	92
0	93
0	94
0	95
0	96
0	97
0	98
0	99
0	100
0	101
0	102
0	103
0	104
0	105
0	106
0	107
0	108
0	109
0	110
0	111
0	112
0	113
0	114
0	115
0	116
0	117
0	118
0	119
0	120
0	121
0	122
1	0
1	3
1	4
1	5
1	7
1	9
1	23
1	26
1	29
1	30
1	35
1	38
1	40
1	42
1	46
1	56
1	74
1	91
1	93
1	97
1	123
1	124
1	125
1	126
1	127
1	128
1	129
1	130
1	131
1	132
1	133
1	134
1	135
1	136
1	137
1	138
1	139
1	140
1	141
1	142
2	0
2	10
2	12
2	13
2	20
2	29
2	30
2	32
2	33
2	34
2	40
2	45
2	47
2	50
2	55
2	63
2	79
2	84
2	113
2	114
2	143
2	144
2	145
2	146
2	147
2	148
2	149
2	150
2	151
2	152
2	153
2	154
2	155
2	156
2	157
2	158
2	159
2	160
2	161
2	162
2	163
2	164
2	165
2	166
2	167
2	168
2	169
2	170
2	171
2	172
2	173
2	174
2	175
2	176
2	177
2	178
2	179
2	180
2	181
2	182
2	183
2	184
2	185
2	186
2	187
2	188
2	189
2	190
2	191
2	192
2	193
2	194
2	195
2	196
2	197
2	198
2	199
2	200
2	201
2	202
2	203
2	204
2	205
3	0
3	1
3	4
3	6
3	7
3	9
3	11
3	20
3	26
3	27
3	30
3	36
3	38
3	42
3	46
3	49
3	54
3	112
3	116
3	123
3	124
3	143
3	144
3	146
3	148
3	154
3	159
3	191
3	207
3	208
3	209
3	210
3	211
3	212
3	213
3	214
3	215
3	216
3	217
3	218
3	219
3	220
3	221
3	222
3	223
3	224
3	225
3	226
3	227
3	228
3	229
3	230
3	231
3	232
3	233
3	235
3	236
3	237
3	238
3	239
3	240
3	241
3	242
3	243
3	244
3	245
3	246
3	247
3	248
3	250
3	251
3	252
3	253
3	254
3	255
3	256
3	257
3	258
3	259
3	262
3	263
3	264
3	265
3	267
3	268
3	269
3	270
3	271
3	272
3	273
3	275
3	276
3	277
3	278
3	279
3	280
3	281
3	282
3	283
3	284
3	285
3	286
3	288
3	289
3	290
3	291
3	294
3	296
3	297
3	298
3	299
3	300
3	301
3	302
3	303
3	304
3	306
3	308
3	310
3	311
3	312
3	313
3	314
3	317
3	318
3	320
3	321
3	324
3	325
3	326
3	327
3	328
3	329
3	330
3	331
3	332
3	333
3	334
3	335
3	336
3	337
3	339
3	340
3	341
3	342
3	343
3	344
3	345
3	346
3	347
3	349
3	350
3	354
3	355
3	356
3	357
3	358
3	360
3	365
3	366
3	367
3	368
3	369
3	370
3	371
3	372
3	373
3	374
3	375
3	376
3	378
3	380
3	381
3	382
3	383
3	384
3	386
3	387
3	388
3	389
3	391
3	392
3	393
3	394
3	395
3	396
3	397
3	398
3	399
3	400
3	401
3	402
3	403
3	405
3	406
3	407
3	408
3	409
3	410
3	412
3	417
3	418
3	419
3	420
3	421
3	422
3	424
3	426
3	428
3	429
3	430
3	432
3	434
3	435
3	440
3	446
3	448
3	449
3	455
3	457
3	460
3	462
3	463
3	465
3	466
3	469
3	470
3	471
3	473
3	475
3	477
3	479
3	480
3	486
3	488
3	490
3	492
3	493
3	498
3	499
3	500
3	501
3	502
3	505
3	507
3	508
3	509
3	510
3	511
3	512
3	513
3	516
3	519
3	521
3	523
3	525
3	527
3	528
3	529
4	0
4	1
4	3
4	5
4	7
4	9
4	11
4	23
4	26
4	30
4	38
4	42
4	46
4	74
4	91
4	93
4	123
4	124
4	137
4	148
4	530
4	531
4	532
4	533
4	534
4	535
4	536
5	0
5	1
5	4
5	7
5	9
5	11
5	23
5	26
5	29
5	30
5	38
5	40
5	42
5	56
5	74
5	91
5	93
5	97
5	123
5	124
5	125
5	127
5	129
5	130
5	132
5	134
5	135
5	136
5	137
5	138
5	139
5	140
5	274
5	537
5	538
5	539
5	540
5	541
5	543
5	544
5	545
5	546
5	547
5	548
5	549
5	550
5	551
6	0
6	3
6	40
6	44
6	47
6	116
6	347
6	463
6	529
6	552
6	553
6	554
6	555
6	556
6	557
6	558
6	559
6	560
6	561
6	562
6	563
6	564
6	565
6	566
6	567
6	568
6	569
6	570
6	571
6	572
6	573
6	574
6	575
6	577
6	579
6	580
6	581
6	582
6	583
6	584
6	585
6	586
6	587
6	588
6	589
6	590
6	592
6	594
6	595
6	596
6	597
6	598
6	599
6	600
6	601
6	602
6	604
6	605
6	606
6	607
6	608
6	609
6	610
6	611
6	612
6	613
6	614
6	615
6	617
6	618
6	619
7	0
7	1
7	3
7	4
7	5
7	9
7	11
7	16
7	23
7	26
7	29
7	30
7	35
7	36
7	38
7	40
7	42
7	54
7	56
7	58
7	74
7	91
7	93
7	97
7	123
7	124
7	125
7	129
7	130
7	131
7	132
7	133
7	134
7	135
7	136
7	137
7	138
7	139
7	140
7	142
7	144
7	146
7	148
7	149
7	154
7	155
7	159
7	163
7	170
7	181
7	207
7	209
7	212
7	214
7	215
7	218
7	226
7	229
7	230
7	235
7	241
7	246
7	253
7	267
7	268
7	274
7	277
7	279
7	282
7	294
7	301
7	363
7	421
7	424
7	531
7	533
7	538
7	539
7	540
7	542
7	543
7	620
7	622
7	624
7	625
7	626
7	627
7	628
7	630
7	631
7	632
7	633
7	636
7	637
7	638
7	639
7	641
7	642
7	643
7	644
7	645
7	646
7	647
7	649
7	651
7	652
7	653
7	654
7	655
7	656
7	658
7	660
7	661
7	662
7	663
7	664
7	668
7	670
7	671
7	672
7	673
7	675
7	676
7	677
7	678
7	679
7	680
7	681
7	682
7	683
7	684
7	686
7	687
7	688
7	689
7	690
7	691
7	692
7	694
7	695
7	697
7	699
7	700
7	701
7	702
7	703
7	705
7	707
7	708
7	709
7	710
7	712
7	713
7	714
7	716
7	717
7	718
7	719
7	720
7	721
7	722
7	724
7	725
7	726
7	727
7	730
7	731
7	733
7	734
7	735
7	736
7	737
7	738
7	741
7	742
7	743
7	744
7	745
7	746
7	747
7	748
7	749
7	752
7	753
7	754
7	755
7	756
7	757
7	758
7	759
7	760
7	761
7	762
7	763
7	766
7	767
7	768
7	770
7	771
7	772
7	773
7	774
7	775
7	776
7	777
7	779
7	780
7	781
7	783
7	784
7	785
7	786
7	787
7	788
7	789
7	790
7	791
7	792
7	794
7	795
7	796
7	798
7	800
7	801
7	803
7	804
7	805
7	806
